year,variableA,variableB,variableC,variableD,variableE,variableF
2017-01-23,45.46693,41.26452,50.88971,40.04416,46.68729,35.84175
2017-01-23,46,37,52.29238,39.70762,43.29238,30.70762
2017-01-23,45,45,51.1347,38.8653,51.1347,38.8653
2017-01-24,45,45.74659,50.98562,39.01438,51.73221,39.76097
2017-01-24,46,37,52.29238,39.70762,43.29238,30.70762
2017-01-24,45.44264,41.87849,50.82922,40.05606,47.26508,36.49191
2017-01-25,48.61617,41.35324,53.80425,43.42808,46.54132,36.16516
2017-01-25,45.59516,45.19996,51.48944,39.70088,51.09425,39.30568
2017-01-25,47.76497,42.52911,52.66397,42.86596,47.42811,37.63011
2017-01-26,44.62692,41.1728,49.31432,39.93952,45.8602,36.4854
2017-01-26,43.21775,39.85699,48.34188,38.09363,44.98112,34.73286
2017-01-26,44.37598,41.06081,48.93261,39.81936,45.61743,36.50418
2017-01-27,44.38777,41.58635,49.09824,39.6773,46.29682,36.87588
2017-01-27,44.13586,41.67268,48.70494,39.56679,46.24175,37.1036
2017-01-27,43.08089,40.57829,48.21475,37.94702,45.71215,35.44442
2017-01-28,43.87527,41.91362,48.46821,39.28233,46.50656,37.32067
2017-01-28,44.38777,41.58635,49.09824,39.6773,46.29682,36.87588
2017-01-28,42.51997,41.19157,47.66774,37.37219,46.33934,36.04379
2017-01-29,44.14589,42.2247,48.72661,39.56517,46.80542,37.64399
2017-01-29,44.74559,41.74476,49.4796,40.01159,46.47876,37.01076
2017-01-29,42.42076,41.6069,47.58598,37.25555,46.77211,36.44168
2017-01-30,44.67257,42.0221,49.38835,39.95678,46.73788,37.30631
2017-01-30,44.09903,42.45613,48.69541,39.50266,47.05251,37.85976
2017-01-30,42.51344,41.65466,47.69931,37.32757,46.84053,36.46879
2017-01-31,44.34048,43.45351,48.89616,39.78481,48.00919,38.89784
2017-01-31,43.67982,43.60509,48.68051,38.67913,48.60578,38.6044
2017-01-31,45.01149,43.20672,49.6689,40.35407,47.86413,38.5493
2017-02-01,45.86395,44.44283,50.5223,41.2056,49.10118,39.78447
2017-02-01,43.7891,44.59832,48.70733,38.87086,49.51656,39.68008
2017-02-01,44.79341,44.69287,49.32774,40.25908,49.2272,40.15854
2017-02-02,43.76831,45.22588,48.71731,38.81931,50.17488,40.27688
2017-02-02,44.81124,44.79839,49.33113,40.29136,49.31827,40.27851
2017-02-02,45.88868,44.48,50.53785,41.23951,49.12917,39.83083
2017-02-03,42.87061,48.63497,47.47776,38.26346,53.24212,44.02782
2017-02-03,46.21463,44.72782,50.90343,41.52583,49.41662,40.03902
2017-02-03,44.21341,47.06427,48.61607,39.81074,51.46694,42.66161
2017-02-04,44.23746,47.03533,48.63475,39.84016,51.43262,42.63803
2017-02-04,42.93061,48.55542,47.52776,38.33346,53.15257,43.95826
2017-02-04,46.21463,44.72782,50.90343,41.52583,49.41662,40.03902
2017-02-05,42.7303,49.04629,47.35865,38.10196,53.67463,44.41794
2017-02-05,46.77325,45.41658,51.44566,42.10085,50.08898,40.74417
2017-02-05,44.43742,47.4848,48.81641,40.05843,51.86378,43.10581
2017-02-06,42.62589,49.48686,47.259,37.99279,54.11996,44.85376
2017-02-06,44.42256,48.03367,48.81194,40.03319,52.42305,43.6443
2017-02-06,46.66296,45.71693,51.29055,42.03538,50.34452,41.08935
2017-02-07,44.65995,48.71205,49.03472,40.28518,53.08682,44.33728
2017-02-07,42.58524,49.79887,47.25029,37.92019,54.46392,45.13382
2017-02-07,46.92523,47.53691,51.52148,42.32898,52.13317,42.94066
2017-02-08,44.50491,48.8634,48.843,40.16682,53.20149,44.52531
2017-02-08,46.69795,47.94511,51.23309,42.16281,52.48025,43.40998
2017-02-08,42.46727,49.95639,47.10171,37.83284,54.59083,45.32195
2017-02-09,44.34582,49.3256,48.72214,39.96951,53.70191,44.94928
2017-02-09,42.45341,50.05256,47.12389,37.78294,54.72303,45.38208
2017-02-09,46.23419,48.68385,50.80249,41.66589,53.25216,44.11555
2017-02-10,42.33272,50.14452,47.04307,37.62237,54.85487,45.43417
2017-02-10,44.28156,49.35836,48.64907,39.91405,53.72587,44.99086
2017-02-10,46.21808,48.71865,50.77919,41.65697,53.27976,44.15754
2017-02-11,46.31055,48.61903,50.92749,41.69361,53.23597,44.00209
2017-02-11,42.17884,50.29835,46.93204,37.42564,55.05155,45.54515
2017-02-11,44.42348,49.29364,48.84508,40.00189,53.71523,44.87204
2017-02-12,41.98624,50.62114,46.78743,37.18506,55.42233,45.81996
2017-02-12,44.30565,49.4447,48.72142,39.88988,53.86047,45.02893
2017-02-12,46.31055,48.61903,50.92749,41.69361,53.23597,44.00209
2017-02-13,43.46242,50.64742,47.85374,39.07109,55.09876,46.19608
2017-02-13,45.41359,49.86423,49.90409,40.92309,54.35473,45.37373
2017-02-13,41.11952,52.40815,45.75837,36.48067,57.20925,47.60704
2017-02-14,46.16746,49.73203,50.76975,41.56517,54.36329,45.10077
2017-02-14,44.47177,50.36843,49.01568,39.92786,55.0418,45.69505
2017-02-14,41.01787,52.47426,45.69108,36.34466,57.35436,47.59416
2017-02-15,41.3626,52.01312,45.92407,36.80114,57.00552,47.02072
2017-02-15,44.49281,50.23329,49.07682,39.90881,54.94403,45.52256
2017-02-15,46.32353,49.7077,50.96176,41.6853,54.38807,45.02732
2017-02-16,46.53775,49.53732,51.25437,41.82114,54.24575,44.82889
2017-02-16,41.26061,52.20712,45.85092,36.6703,57.25517,47.15907
2017-02-16,44.57693,50.21927,49.23923,39.91463,54.96953,45.46901
2017-02-17,40.93276,52.55815,45.58841,36.27711,57.6859,47.4304
2017-02-17,46.66242,49.45398,51.43516,41.88968,54.19453,44.71342
2017-02-17,44.46416,50.34889,49.21023,39.7181,55.15873,45.53905
2017-02-18,41.14259,52.61021,45.75518,36.52999,57.82709,47.39334
2017-02-18,44.31153,50.62162,49.03962,39.58345,55.49161,45.75164
2017-02-18,46.48179,49.83215,51.23529,41.72828,54.65438,45.00993
2017-02-19,44.10547,50.62915,48.89841,39.31253,55.54121,45.7171
2017-02-19,41.1262,52.34517,45.72119,36.53122,57.59246,47.09787
2017-02-19,46.48179,49.83215,51.23529,41.72828,54.65438,45.00993
2017-02-20,41.1068,52.24264,45.60037,36.61324,57.46707,47.01821
2017-02-20,45.56286,49.19039,50.41407,40.71165,53.98789,44.39288
2017-02-20,43.83627,50.03596,48.59529,39.07725,54.89173,45.18018
2017-02-21,45.53262,49.28985,50.36337,40.70187,54.07336,44.50635
2017-02-21,43.66503,50.16118,48.39862,38.93143,54.99011,45.33226
2017-02-21,41.4049,51.92768,45.76923,37.04057,57.05551,46.79984
2017-02-22,42.54541,50.79599,47.43392,37.6569,55.63756,45.95441
2017-02-22,40.99014,51.52739,45.27751,36.70276,56.48182,46.57297
2017-02-22,44.294,50.37005,49.44938,39.13863,55.35322,45.38689
2017-02-23,42.08851,50.09972,46.23182,37.94521,54.93006,45.26939
2017-02-23,43.00062,49.79304,47.7711,38.23013,54.51702,45.06906
2017-02-23,44.84227,49.52387,49.9486,39.73595,54.37848,44.66925
2017-02-24,42.13914,50.20037,46.28004,37.99824,55.015,45.38575
2017-02-24,44.86759,49.60043,49.97301,39.76218,54.46981,44.73105
2017-02-24,43.10133,49.82072,47.88879,38.31387,54.53353,45.10792
2017-02-25,44.86759,49.60043,49.97301,39.76218,54.46981,44.73105
2017-02-25,42.99247,49.87163,47.80976,38.17517,54.60665,45.1366
2017-02-25,41.93456,50.34444,46.09764,37.77147,55.17621,45.51268
2017-02-26,44.86759,49.60043,49.97301,39.76218,54.46981,44.73105
2017-02-26,41.86868,50.54937,46.0538,37.68355,55.40913,45.68962
2017-02-26,42.94234,49.97172,47.78183,38.10285,54.73501,45.20843
2017-02-27,44.77391,49.68867,49.93987,39.60795,54.59674,44.78059
2017-02-27,42.97042,50.10254,47.81451,38.12633,54.87105,45.33402
2017-02-27,41.93449,50.65856,46.13142,37.73755,55.54948,45.76763
2017-02-28,44.69143,49.79915,49.87772,39.50513,54.73494,44.86337
2017-02-28,42.93886,50.21992,47.79404,38.08368,55.00761,45.43224
2017-02-28,41.92185,50.75521,46.14059,37.7031,55.67918,45.83124
2017-03-01,42.93229,50.10905,47.20044,38.66414,54.72215,45.49596
2017-03-01,45.15903,49.53156,50.19463,40.12343,54.37161,44.69152
2017-03-01,43.75505,49.75748,48.47799,39.03212,54.34694,45.16802
2017-03-02,42.74433,50.39036,46.98483,38.50384,54.90135,45.87937
2017-03-02,45.23322,49.77825,50.25408,40.21236,54.56505,44.99146
2017-03-02,43.71027,49.87239,48.49278,38.92776,54.40887,45.33591
2017-03-03,43.90226,49.85654,48.6751,39.12943,54.37281,45.34027
2017-03-03,42.9674,50.43211,47.17238,38.76241,54.88548,45.97874
2017-03-03,45.63852,49.62764,50.65363,40.62341,54.40191,44.85337
2017-03-04,43.90226,49.85654,48.6751,39.12943,54.37281,45.34027
2017-03-04,42.9674,50.43211,47.17238,38.76241,54.88548,45.97874
2017-03-04,45.63852,49.62764,50.65363,40.62341,54.40191,44.85337
2017-03-05,43.93693,49.72623,48.76372,39.11013,54.27249,45.17998
2017-03-05,45.63852,49.62764,50.65363,40.62341,54.40191,44.85337
2017-03-05,43.00411,50.26909,47.25905,38.74918,54.7504,45.78778
2017-03-06,43.51528,49.41735,47.50908,39.52149,53.87724,44.95747
2017-03-06,45.36596,48.83812,50.36006,40.37185,53.65353,44.02271
2017-03-06,44.08371,49.29635,48.69637,39.47105,53.78793,44.80477
2017-03-07,45.46577,48.28428,50.29033,40.64122,53.04988,43.51868
2017-03-07,43.68052,49.24304,47.77182,39.58922,53.76972,44.71636
2017-03-07,44.3455,48.89124,48.87922,39.81178,53.46196,44.32052
2017-03-08,45.37472,48.55411,50.1804,40.56905,53.31239,43.79584
2017-03-08,43.52806,49.65459,47.62445,39.43167,54.15749,45.15169
2017-03-08,44.33974,49.15517,48.90763,39.77184,53.72889,44.58145
2017-03-09,43.41724,49.70358,47.52428,39.3102,54.20479,45.20238
2017-03-09,45.35116,48.61091,50.14901,40.55331,53.3605,43.86132
2017-03-09,44.25294,49.22272,48.83014,39.67575,53.79013,44.65532
2017-03-10,45.5193,48.62363,50.33577,40.70283,53.38221,43.86504
2017-03-10,43.9422,49.21457,48.24376,39.64064,53.79547,44.63366
2017-03-10,44.51029,49.00035,49.12762,39.89296,53.60986,44.39085
2017-03-11,45.73587,48.4897,50.55025,40.92148,53.1647,43.8147
2017-03-11,44.2165,48.96644,48.54074,39.89226,53.50496,44.42792
2017-03-11,44.6835,48.83847,49.29448,40.07253,53.42355,44.2534
2017-03-12,44.32833,48.88358,48.67724,39.97943,53.44093,44.32623
2017-03-12,45.73587,48.4897,50.55025,40.92148,53.1647,43.8147
2017-03-12,44.76669,48.7696,49.39057,40.14281,53.37308,44.16611
2017-03-13,44.10419,48.99449,48.49052,39.71787,53.57737,44.41162
2017-03-13,45.58329,48.65232,50.42994,40.73663,53.42555,43.87909
2017-03-13,44.53927,48.95186,49.17732,39.90122,53.59417,44.30956
2017-03-14,45.47269,49.06578,50.2247,40.72068,53.79823,44.33332
2017-03-14,43.82244,49.54628,48.24846,39.39643,54.1033,44.98926
2017-03-14,44.29615,49.32653,48.92532,39.66698,53.95638,44.69668
2017-03-15,43.43536,49.8028,47.89869,38.97202,54.29678,45.30881
2017-03-15,44.59151,49.70044,49.29085,39.89216,54.3433,45.05758
2017-03-15,43.732,49.82358,48.34158,39.12242,54.37471,45.27245
2017-03-16,43.24698,51.14386,47.57337,38.92059,56.14853,46.13919
2017-03-16,44.63105,49.73156,49.32425,39.93784,54.35492,45.1082
2017-03-16,43.59192,50.67634,48.14231,39.04153,55.53901,45.81367
2017-03-17,44.47798,50.08054,49.07936,39.8766,54.69834,45.46274
2017-03-17,42.80822,51.36173,46.93233,38.6841,56.22272,46.50073
2017-03-17,43.36182,50.8023,47.80959,38.91404,55.57342,46.03117
2017-03-18,44.47798,50.08054,49.07936,39.8766,54.69834,45.46274
2017-03-18,41.87791,52.33651,46.41851,37.33731,57.45996,47.21305
2017-03-18,42.70947,51.48524,47.44154,37.97739,56.47866,46.49182
2017-03-19,44.47798,50.08054,49.07936,39.8766,54.69834,45.46274
2017-03-19,41.53395,52.66131,46.20824,36.85967,57.92685,47.39578
2017-03-19,42.48279,51.70201,47.31588,37.6497,56.81096,46.59307
2017-03-20,41.57674,52.50675,46.22869,36.9248,57.73434,47.27915
2017-03-20,44.52505,50.08957,49.19572,39.85439,54.74471,45.43443
2017-03-20,42.56183,51.57077,47.41304,37.71062,56.63733,46.5042
2017-03-21,44.61454,50.02016,49.35433,39.87475,54.68645,45.35387
2017-03-21,41.38521,52.85176,45.94193,36.8285,58.01113,47.6924
2017-03-21,42.41769,51.82015,47.27553,37.55984,56.87549,46.7648
2017-03-22,44.10851,50.6463,49.28387,38.93314,55.57218,45.72042
2017-03-22,41.60312,51.97084,46.0286,37.17764,57.16357,46.77811
2017-03-22,42.34076,51.67672,47.29531,37.38622,56.76546,46.58797
2017-03-23,41.48011,52.1105,45.96347,36.99674,57.37497,46.84602
2017-03-23,44.11869,50.66172,49.32698,38.9104,55.60133,45.72211
2017-03-23,42.28773,51.76073,47.29216,37.28331,56.88629,46.63516
2017-03-24,41.54422,52.38712,46.26891,36.81953,58.03065,46.74358
2017-03-24,44.35612,50.58176,49.65315,39.05909,55.89857,45.26495
2017-03-24,42.15625,52.08948,47.20598,37.10653,57.51303,46.66592
2017-03-25,44.35612,50.58176,49.65315,39.05909,55.89857,45.26495
2017-03-25,41.53386,52.38558,46.28392,36.78381,58.0583,46.71286
2017-03-25,42.14841,52.09206,47.22449,37.07233,57.54439,46.63973
2017-03-26,41.43587,52.38198,46.2299,36.64183,58.08395,46.68002
2017-03-26,44.35612,50.58176,49.65315,39.05909,55.89857,45.26495
2017-03-26,42.08798,52.08815,47.20525,36.97071,57.57109,46.60522
2017-03-27,41.03792,52.65294,46.03124,36.0446,58.45473,46.85114
2017-03-27,44.28436,50.60625,49.65789,38.91082,55.98377,45.22873
2017-03-27,41.81089,52.25573,47.05198,36.56979,57.78765,46.7238
2017-03-28,43.37658,51.31355,48.56889,38.18426,56.60413,46.02298
2017-03-28,40.6702,52.81675,45.40951,35.93089,58.3959,47.2376
2017-03-28,41.55795,52.38742,46.62505,36.49085,57.79079,46.98404
2017-03-29,43.23234,51.65588,48.12896,38.33572,56.73108,46.58068
2017-03-29,40.54865,52.65205,45.12926,35.96804,58.12233,47.18176
2017-03-29,41.20364,52.53189,46.0816,36.32568,57.80197,47.26182
2017-03-30,42.78091,51.80407,47.72739,37.83444,56.74441,46.86372
2017-03-30,40.11081,54.028,44.79861,35.42301,59.98937,48.06663
2017-03-30,40.63618,53.55639,45.51982,35.75254,59.13385,47.97892
2017-03-31,40.448,53.2771,45.17403,35.72196,59.34482,47.20937
2017-03-31,41.77287,51.91686,46.84838,36.69736,56.71685,47.11687
2017-03-31,40.48179,53.06938,45.32975,35.63383,58.63694,47.50181
2017-04-01,41.77287,51.91686,46.84838,36.69736,56.71685,47.11687
2017-04-01,40.55445,53.32457,45.26672,35.84218,59.41961,47.22953
2017-04-01,40.54905,53.0927,45.38779,35.7103,58.68511,47.50028
2017-04-02,41.77287,51.91686,46.84838,36.69736,56.71685,47.11687
2017-04-02,40.39359,53.45893,45.16575,35.62142,59.59847,47.31939
2017-04-02,40.44848,53.17198,45.32938,35.56758,58.80313,47.54082
2017-04-03,39.61414,53.89282,44.69081,34.53746,59.91079,47.87486
2017-04-03,41.49263,52.28128,46.54613,36.43912,57.25156,47.311
2017-04-03,39.84783,53.59146,44.92455,34.77111,59.18995,47.99298
2017-04-04,40.50948,53.39999,45.69217,35.32678,59.1553,47.64467
2017-04-04,41.28366,52.73132,46.88392,35.6834,57.75137,47.71127
2017-04-04,40.01525,53.67127,45.26242,34.76808,59.05883,48.2837
2017-04-05,41.72259,52.42102,47.24487,36.20031,57.31507,47.52696
2017-04-05,40.98213,52.87018,45.88659,36.07767,58.4521,47.28827
2017-04-05,40.66016,53.16607,45.7916,35.52871,58.42831,47.90383
2017-04-06,40.51774,53.72948,45.51066,35.52483,59.73963,47.71933
2017-04-06,41.74047,52.44887,47.29905,36.1819,57.36218,47.53556
2017-04-06,40.41075,53.69882,45.60198,35.21951,59.2783,48.11934
2017-04-07,40.42915,54.0258,45.2564,35.60189,59.83382,48.21779
2017-04-07,41.51286,52.79503,46.80249,36.22323,57.599,47.99107
2017-04-07,40.38835,53.89001,45.4526,35.32409,59.34081,48.43921
2017-04-08,41.51286,52.79503,46.80249,36.22323,57.599,47.99107
2017-04-08,40.44548,53.98016,45.27812,35.61284,59.79935,48.16096
2017-04-08,40.40128,53.86125,45.47359,35.32896,59.32256,48.39995
2017-04-09,41.51286,52.79503,46.80249,36.22323,57.599,47.99107
2017-04-09,40.46673,53.93581,45.30285,35.63061,59.76171,48.10991
2017-04-09,40.41701,53.82942,45.49614,35.33789,59.29893,48.35992
2017-04-10,41.39298,52.95179,46.71243,36.07354,57.82961,48.07397
2017-04-10,41.15395,52.99094,45.86559,36.44231,58.75322,47.22866
2017-04-10,40.87731,53.21894,45.83553,35.91909,58.66856,47.76932
2017-04-11,41.84169,52.17405,46.86845,36.81492,58.11969,46.22842
2017-04-11,42.56668,51.78368,48.27353,36.85984,56.98209,46.58527
2017-04-11,41.51326,52.52065,46.72686,36.29965,58.12492,46.91638
2017-04-12,42.83318,51.76783,48.376,37.29036,56.88817,46.64748
2017-04-12,41.62653,52.25298,46.5685,36.68455,58.06441,46.44155
2017-04-12,41.64417,52.36113,46.87432,36.41402,57.88984,46.83242
2017-04-13,42.90318,51.71242,48.45972,37.34663,56.7949,46.62994
2017-04-13,41.22889,52.85146,46.25507,36.20272,58.95934,46.74358
2017-04-13,41.44421,52.70598,46.76628,36.12213,58.45796,46.95399
2017-04-14,41.0928,52.42646,46.019,36.16659,58.40254,46.45038
2017-04-14,42.73984,50.934,48.22797,37.25171,55.76231,46.10569
2017-04-14,41.27088,51.87616,46.42637,36.11538,57.45,46.30231
2017-04-15,41.01736,52.42741,45.97337,36.06135,58.41444,46.44038
2017-04-15,42.73984,50.934,48.22797,37.25171,55.76231,46.10569
2017-04-15,41.23275,51.88008,46.41501,36.0505,57.46936,46.2908
2017-04-16,42.73984,50.934,48.22797,37.25171,55.76231,46.10569
2017-04-16,41.17042,52.25262,46.12373,36.21711,58.22296,46.28227
2017-04-16,41.34031,51.77214,46.52293,36.1577,57.3511,46.19318
2017-04-17,41.29482,52.09627,46.21842,36.37123,57.79642,46.39611
2017-04-17,43.4188,50.35167,48.84432,37.99329,55.01369,45.68964
2017-04-17,41.62966,51.48813,46.85859,36.40073,56.89203,46.08422
2017-04-18,41.32755,51.95232,46.28143,36.37368,57.66853,46.23611
2017-04-18,43.50145,50.31609,48.9874,38.01551,54.99622,45.63595
2017-04-18,41.70159,51.38246,46.99654,36.40664,56.7924,45.97252
2017-04-19,44.00313,50.52559,49.2343,38.77197,54.88184,46.16934
2017-04-19,41.10365,52.49113,45.66794,36.53936,57.87409,47.10818
2017-04-19,41.92009,51.80953,47.03592,36.80427,56.86413,46.75493
2017-04-20,44.05973,50.58625,49.1797,38.93976,55.20732,45.96517
2017-04-20,40.81158,52.93252,45.62248,36.00069,58.88656,46.97849
2017-04-20,42.02447,52.04146,47.19346,36.85548,57.51389,46.56903
2017-04-21,44.04811,50.56432,49.1926,38.90363,55.18794,45.9407
2017-04-21,40.72075,53.3662,45.46203,35.97947,59.12423,47.60818
2017-04-21,41.89439,52.33761,47.02298,36.7658,57.71827,46.95695
2017-04-22,40.71088,53.36101,45.44498,35.97677,59.11146,47.61056
2017-04-22,44.04811,50.56432,49.1926,38.90363,55.18794,45.9407
2017-04-22,41.88213,52.33886,47.01614,36.74812,57.71994,46.95778
2017-04-23,44.04811,50.56432,49.1926,38.90363,55.18794,45.9407
2017-04-23,40.62176,53.92823,45.03156,36.21197,59.21482,48.64163
2017-04-23,41.63386,52.87494,46.54868,36.71904,57.99485,47.75502
2017-04-24,44.23955,50.40123,49.54624,38.93287,55.07882,45.72365
2017-04-24,40.60334,53.91079,45.012,36.19468,59.18217,48.6394
2017-04-24,41.76186,52.74255,46.79366,36.73006,57.86912,47.61599
2017-04-25,40.30374,54.23236,44.60197,36.00551,59.40096,49.06376
2017-04-25,43.502,50.69404,48.45667,38.54732,55.25338,46.13471
2017-04-25,41.42433,52.85545,46.19313,36.65553,57.87822,47.83269
2017-04-26,40.71889,53.70636,44.81233,36.62546,58.5398,48.87291
2017-04-26,44.06063,50.11729,48.8275,39.29377,54.70171,45.53288
2017-04-26,41.98724,52.19347,46.71743,37.25704,57.10226,47.28468
2017-04-27,43.94151,50.25742,48.69866,39.18437,54.9077,45.60715
2017-04-27,41.19462,53.62363,45.27081,37.11842,58.3029,48.94435
2017-04-27,42.1408,52.32465,46.77888,37.50272,57.1571,47.4922
2017-04-28,40.96248,54.07797,45.51542,36.40953,59.50538,48.65056
2017-04-28,44.18594,50.13792,48.92052,39.45135,54.68615,45.58969
2017-04-28,41.9548,52.67693,46.88246,37.02715,58.03936,47.31449
2017-04-29,41.04478,53.89684,45.61719,36.47237,59.35752,48.43616
2017-04-29,44.18594,50.13792,48.92052,39.45135,54.68615,45.58969
2017-04-29,41.99678,52.56797,46.93359,37.05997,57.95444,47.1815
2017-04-30,44.18594,50.13792,48.92052,39.45135,54.68615,45.58969
2017-04-30,41.0427,53.92722,45.62574,36.45967,59.38926,48.46518
2017-04-30,41.98776,52.59581,46.93704,37.03849,57.99697,47.19464
2017-05-01,44.12144,50.34044,48.82506,39.41782,54.91676,45.76411
2017-05-01,40.90617,54.12692,45.40572,36.40663,59.50862,48.74522
2017-05-01,41.87309,52.76786,46.76357,36.98261,58.10855,47.42718
2017-05-02,44.19493,50.27415,48.93872,39.45113,54.85132,45.69698
2017-05-02,41.01395,54.02813,45.53724,36.49067,59.42989,48.62637
2017-05-02,41.99481,52.65896,46.92556,37.06407,58.00486,47.31306
2017-05-03,41.48521,53.02538,45.87061,37.0998,58.46288,47.58789
2017-05-03,44.34391,49.80513,48.90283,39.78498,54.46153,45.14873
2017-05-03,42.38294,51.87002,47.22184,37.54404,57.22107,46.51897
2017-05-04,44.23395,49.99863,48.69094,39.77697,54.58596,45.4113
2017-05-04,41.48521,53.02538,45.87061,37.0998,58.46288,47.58789
2017-05-04,42.42966,51.85018,47.21623,37.64309,57.14867,46.55169
2017-05-05,44.06768,50.19212,48.48866,39.64671,54.87309,45.51114
2017-05-05,41.49231,52.98911,45.89816,37.08645,58.44722,47.531
2017-05-05,42.33636,51.93982,47.07829,37.59442,57.23312,46.64652
2017-05-06,41.32185,53.11271,45.67287,36.97084,58.37172,47.85369
2017-05-06,44.32235,50.10137,48.65945,39.98526,54.64916,45.55357
2017-05-06,42.17928,52.08133,46.86745,37.49111,57.26179,46.90088
2017-05-07,41.26906,53.12979,45.62116,36.91697,58.36459,47.89498
2017-05-07,44.32235,50.10137,48.65945,39.98526,54.64916,45.55357
2017-05-07,42.13611,52.09691,46.83911,37.43311,57.26974,46.92409
2017-05-08,44.14452,50.20971,48.51689,39.77215,54.84586,45.57356
2017-05-08,41.42287,53.04214,45.74117,37.10458,58.23603,47.84824
2017-05-08,42.16862,52.08101,46.80999,37.52726,57.21143,46.95058
2017-05-09,41.14016,52.99695,45.44517,36.83515,57.98884,48.00506
2017-05-09,44.17577,50.24742,48.55055,39.80099,54.92481,45.57002
2017-05-09,41.93328,52.1669,46.63458,37.23199,57.1736,47.1602
2017-05-10,41.02212,53.14196,45.11921,36.92503,57.86072,48.4232
2017-05-10,42.81641,51.53957,48.18433,37.44849,56.71715,46.36199
2017-05-10,41.21492,52.84939,46.01898,36.41087,57.7994,47.89938
2017-05-11,42.88606,51.48355,48.32984,37.44228,56.67863,46.28847
2017-05-11,40.85036,53.25583,45.04947,36.65126,58.01551,48.49614
2017-05-11,41.15792,52.87853,46.07581,36.24004,57.84761,47.90946
2017-05-12,42.59069,51.74759,47.81786,37.36352,57.01383,46.48135
2017-05-12,40.99252,53.26033,45.08227,36.90276,57.98465,48.53601
2017-05-12,41.12946,52.89473,45.89158,36.36733,57.90615,47.88332
2017-05-13,42.59069,51.74759,47.81786,37.36352,57.01383,46.48135
2017-05-13,40.91915,53.34138,45.03639,36.80191,58.09837,48.58439
2017-05-13,41.08303,52.949,45.8761,36.28997,57.99341,47.90459
2017-05-14,40.29266,53.97565,44.29087,36.29446,58.44701,49.5043
2017-05-14,42.85477,51.5491,48.10534,37.6042,56.80383,46.29438
2017-05-14,40.63778,53.41823,45.32814,35.94741,58.27899,48.55746
2017-05-15,42.67153,51.77419,47.97429,37.36876,57.15453,46.39384
2017-05-15,40.18683,54.08882,44.25157,36.12209,58.62894,49.54869
2017-05-15,40.50564,53.57767,45.21157,35.79972,58.48868,48.66667
2017-05-16,41.78514,52.59653,46.83479,36.73549,57.72076,47.4723
2017-05-16,39.56028,54.62194,43.5225,35.59806,59.05186,50.19202
2017-05-16,39.90671,54.10234,44.44628,35.36713,58.85572,49.34895
2017-05-17,39.36876,54.66336,43.26851,35.46902,59.06248,50.26425
2017-05-17,41.0498,53.19755,46.06669,36.03291,58.11063,48.28447
2017-05-17,39.6813,54.27899,44.13726,35.22533,58.89919,49.65879
2017-05-18,39.05318,54.66667,42.8056,35.30076,58.80011,50.53323
2017-05-18,40.4189,53.61588,45.37959,35.4582,58.29942,48.93235
2017-05-18,39.45036,54.28648,43.80222,35.09851,58.69677,49.87619
2017-05-19,39.62964,54.51856,44.39882,34.86047,59.25576,49.78135
2017-05-19,38.32204,55.4182,42.01789,34.62618,59.65656,51.17984
2017-05-19,38.86071,54.87609,43.13092,34.5905,59.29292,50.45927
